iteration,L1,L2,Gradient,BCE
4150,0.0386,0.01261,0.04454,0.28739
4200,0.03835,0.01242,0.0444,0.28506
4250,0.038,0.01222,0.04413,0.28301
4300,0.03789,0.01209,0.04418,0.27975
4350,0.03754,0.01191,0.04394,0.27591
4400,0.03733,0.01176,0.04382,0.2725
4450,0.0375,0.01168,0.04424,0.27199
4500,0.03717,0.01149,0.04414,0.26869
4550,0.03675,0.0113,0.04407,0.26586
4600,0.03649,0.01117,0.0437,0.26617
4650,0.03621,0.01099,0.04354,0.26426
4700,0.03625,0.01099,0.04374,0.26513
4750,0.03615,0.01087,0.04374,0.26316
4800,0.03593,0.01072,0.04422,0.26068
4850,0.03571,0.0106,0.04381,0.25863
4900,0.03539,0.01048,0.04349,0.25591
4950,0.03501,0.01031,0.04338,0.25289
5000,0.03477,0.01017,0.04309,0.25065
5050,0.03467,0.01006,0.04372,0.24817
5100,0.03439,0.00991,0.04341,0.24667
5150,0.03413,0.00976,0.04337,0.24534
5200,0.03392,0.00964,0.04314,0.24365
5250,0.03393,0.00956,0.04291,0.243
5300,0.03384,0.00945,0.04276,0.24182
5350,0.03354,0.00931,0.04236,0.2402
5400,0.03339,0.00922,0.04223,0.23782
5450,0.03342,0.0094,0.04164,0.23767
5500,0.03336,0.0093,0.04181,0.23638
5550,0.03321,0.00919,0.04174,0.23446
5600,0.03293,0.00904,0.04153,0.23426
5650,0.03315,0.0091,0.04248,0.23473
5700,0.03301,0.00899,0.04248,0.23184
5750,0.03316,0.00896,0.04263,0.23073
5800,0.03334,0.0089,0.04306,0.23206
5850,0.03322,0.00881,0.04341,0.23079
5900,0.03308,0.00871,0.04306,0.22997
5950,0.03286,0.00857,0.0428,0.22805
6000,0.03254,0.00844,0.04283,0.22564
6050,0.03233,0.00832,0.043,0.22538
