iteration,learning_rate
55500,9.8969e-05
55750,9.896e-05
56000,9.8951e-05
56250,9.8941e-05
56500,9.8932e-05
56750,9.8922e-05
57000,9.8912e-05
57250,9.8903e-05
57550,9.8891e-05
57800,9.8882e-05
58050,9.8872e-05
58300,9.8862e-05
58550,9.8852e-05
58800,9.8842e-05
59050,9.8832e-05
59300,9.8823e-05
59550,9.8813e-05
59800,9.8802e-05
60050,9.8792e-05
60300,9.8782e-05
60550,9.8772e-05
60800,9.8762e-05
61050,9.8752e-05
61300,9.8741e-05
61550,9.8731e-05
61800,9.8721e-05
62050,9.871e-05
62300,9.87e-05
62550,9.8689e-05
62800,9.8679e-05
63100,9.8666e-05
63350,9.8655e-05
63600,9.8645e-05
63850,9.8634e-05
64100,9.8623e-05
64350,9.8613e-05
64600,9.8602e-05
