scene,n_cells,n_cells_valid_gt,n_cells_with_return,n_cells_had_ground,n_cells_err_valid,alpha_metres,rmse_m,mae_m,bias_m,p95_abs_err_m,frac_within_20cm,frac_within_50cm,rmse_ground_m,rmse_nonground_m,n_err_ground,n_err_nonground,n_cells_cls_valid,n_gt_ground,n_gt_non_ground,n_fp,n_fn,e_t1_pct,e_t2_pct,e_tot_pct,e_t1_pct_logit,e_t2_pct_logit,e_tot_pct_logit
NU0643ne_P_12498_20220119_20220119,1000000,999997,996372,952264,952264,0.20000000298023224,0.025617633014917374,0.014141726307570934,0.0025941417552530766,0.042571306228637695,0.9982536355464451,0.9998141271748171,0.023853151127696037,0.04159067943692207,880656,71608,996369,896996,99373,7257,7591,7.3027884837933845,0.8462691026492872,1.4902109559811676,10.007748583619293,1.3793818478566238,2.239933197439904
NU0643nw_P_12498_20220119_20220119,1000000,999975,999131,978458,978453,0.20000000298023224,0.026166807860136032,0.012370893731713295,0.0019166214624419808,0.03186335414648056,0.9969656181748127,0.9997833314425936,0.024423712864518166,0.07542824000120163,961511,16942,999106,970144,28962,2360,7910,8.148608521510946,0.8153428769337335,1.0279189595498375,11.501277536081762,0.8147244120460467,1.1245053077451241
NU0643se_P_12498_20220119_20220119,1000000,999999,999888,989521,989520,0.20000000298023224,0.034952305257320404,0.0142355440184474,0.005673058796674013,0.031729359179735184,0.9959748160724392,0.9987074541191688,0.03331887349486351,0.07686122506856918,966519,23001,999887,971117,28770,1556,6862,5.408411539798401,0.7066089873825708,0.8418951341501589,7.32360097323601,1.1284943008926833,1.306747662485861
NU0643sw_P_12498_20220119_20220119,1000000,1000000,999917,984373,984373,0.20000000298023224,0.023238200694322586,0.014451633207499981,0.009407293051481247,0.03567681461572647,0.9985930130143756,0.9999746031230031,0.019077511504292488,0.0861278772354126,959804,24569,999917,963831,36086,2342,3651,6.4900515435348884,0.3788008478664828,0.5993497460289204,12.151526907942138,0.3816021688449531,0.8063669284550617
NU0644ne_P_12498_20220119_20220119,1000000,999999,999893,953048,953047,0.20000000298023224,0.023836791515350342,0.01438725832849741,-0.00015195031301118433,0.04496192932128906,0.999278104857368,0.999996852201413,0.01910552754998207,0.06269915401935577,898750,54297,999892,910199,89693,4424,10718,4.932380453324117,1.1775446907764127,1.5143635512635365,8.036301606591373,2.539884135227571,3.032927556176067
NU0644nw_P_12498_20220119_20220119,1000000,1000000,999059,982314,982314,0.20000000298023224,0.021997349336743355,0.010301824659109116,0.0036334004253149033,0.02446770668029785,0.9982266362894145,0.9997108867429355,0.016299717128276825,0.15586060285568237,973393,8921,999059,978509,20550,2372,2386,11.54257907542579,0.24384037346616128,0.47624814950868766,9.776155717761558,0.5108793071908383,0.7014600739295678
NU0644se_P_12498_20220119_20220119,1000000,999998,999950,987562,987560,0.20000000298023224,0.017035529017448425,0.010028769262135029,-0.0014416823396459222,0.027460109442472458,0.9993114342419701,0.9999898740329701,0.016200045123696327,0.0705336257815361,981741,5819,999948,987009,12939,3034,3847,23.448489064069868,0.38976341654432733,0.6881357830607192,32.86189040884149,0.6547052762436817,1.0714557156972162
NU0644sw_P_12498_20220119_20220119,1000000,999999,999932,982684,982683,0.20000000298023224,0.01497457455843687,0.009484332986176014,0.002379167824983597,0.023627519607543945,0.9995929511348014,0.999992876644859,0.014327030628919601,0.0646529570221901,977992,4691,999931,985500,14431,1311,3288,9.084609521169703,0.33363774733637747,0.45993173528973497,3.783521585475712,1.052359208523592,1.0917753324979425
NU0645ne_P_12498_20220119_20220119,637320,430777,294804,288291,288259,0.20000000298023224,0.011676691472530365,0.0066907680593431,-0.0020723859779536724,0.021423006430268288,0.9998369521853611,1.0,0.01164182834327221,0.12990066409111023,288245,14,294769,294175,594,131,370,22.053872053872055,0.1257754737826124,0.1699635986145083,19.52861952861953,0.20294042661680972,0.24188432297833218
NU0645nw_P_12498_20220119_20220119,1000000,959738,866323,821051,821049,0.20000000298023224,0.02613217383623123,0.012330607511103153,-0.0021837628446519375,0.04121809080243111,0.9978539648668959,0.9998246146088723,0.02344665303826332,0.08369999378919601,804116,16933,866221,827190,39031,5228,9660,13.394481309728166,1.1678090886011678,1.7187299776846787,21.61102713227947,2.0161027091720163,2.899029231570234
